Qty	Part Name	Package	Description	Value	Manufacturer	Ordering Code	Reference Designator	
1	POWER_LDO_AP7366_3.3V_600mA	SOT23-5	LDO 3.3V 600mA	AP7366-33W5	DIODES Incorporated	AP7366-33W5-7	IC1	
1	MCU_STM32G030C8T6	LQFP-48 7x7mm	Cortex M0+ Microcontroller 32KB Flash, 8KB SRAM	STM32G030C8T6	ST	STM32G030C8T6	IC2	
1	RTC_MAXIM_DS3231MZ+	SOIC-8 4.9x3.9mm	DS3231MZ+ Real Time Clock  I2C	DS3231MZ+	MAXIM	DS3231MZ+	IC3	
1	TEMPERATURE_SENSOR_MCP9804	MSOP-8_3x3mm	I2C Accuracy Digital Temperature Sensor  +/- 0.25degC	MCP9804	MICROCHIP	MCP9804-E/MS	IC4	
8	TRANS_NPN_BC817	SOT23-3	45V 500mA NPN general purpose transistor	BC817	NXP	BC817	Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8	
4	TRANS_MOSFET_N_BSS138	SOT23-3	Transistor MOSFET-N  BSS138	BSS138	-	BSS138	Q9, Q10, Q11, Q12	
2	CAP_0603_1uF_10%_X5R_16V	SMD-0603	Capacitor 1uF 10% X5R 16V SMD0603	1uF/16V	-	-	C1, C2	
1	CAP_0603_4.7uF_10%_X5R_16V	SMD-0603	Capacitor 4.7uF 10% X5R 16V SMD0603	4.7uF/16V	-	-	C3	
5	CAP_0603_100nF_10%_X7R_16V	SMD-0603	Capacitor 100nF 10% X7R 16V SMD0603	100nF	-	-	C4, C5, C6, C7, C8	
8	RES_0603_GENERIC	SMD_0603	Resistor SMD 0603	220R	-	-	R1, R2, R5, R6, R7, R8, R9, R10	
8	RES_0603_GENERIC	SMD_0603	Resistor SMD 0603	470R	-	-	R3, R4, R11, R12, R13, R14, R15, R16	
4	RES_0603_GENERIC	SMD_0603	Resistor SMD 0603	10K	-	-	R17, R18, R22, R23	
3	RES_0603_4.7K_1%	SMD-0603	Resistor 4.7K 1% SMD0603	4.7K	-	-	R19, R20, R24	
4	RES_0603_10K_1%	SMD-0603	Resistor 10K 1% SMD0603	10K	-	-	R21, R25, R26, R28	
2	RES_0603_470R_1%	SMD-0603	Resistor 470R 1% SMD0603	470R	-	-	R27, R29	
1	CONN_HE10_1x2P_2.54mm_VERTICAL_SMD	SMD	Connecteur HE10 1x2 points 2.54mm vertical SMD	10129380-902001ALF	AMPHENOL	10129380-902001ALF	X1	
1	ADDON_PILE_CR1025		Pile cell coin CR1025		-	CR1025	1	
1	SUPPORT_PILE_CR1025	SMD	Support de pile bouton CR1025	CR1025	KEYSTONE	3030 / 3050	BT1	
4	DISPLAY_7SEG_WE_157121B12700	SMT	7 segments display blue - common cathod	157121B12700	WURTH ELEKTRONIK	157121B12700	DISP1, DISP2, DISP3, DISP4	
2	SWITCH_SMT_WE_434133025826	SMT	SMT Tactile Switch	434133025826	WURTH ELEKTRONIK	434133025826	SW1, SW2	
